date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error,entry_date,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,actual_return_combined,predicted_return_combined,actual_profit_label_combined,predicted_profit_label_combined,predicted_profit_probability_combined,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score,benchmark_date,close,m_ret,market_return_lookback,market_volatility_lookback,regime,benchmark_stale_days,benchmark_data_available
2024-12-24,DGC,cart,2024-11-26,2024-12-24,20d,20,0.1105350679839576,-0.2026784772751239,0.3132135452590815,283.3612454144773,2024-11-27,0.1027884357209905,1,1,1.0,0.1105350679839576,-0.2026784772751239,1,1,1.0,2024-12-24,0.0,0.0,1.0,0.5,False,reject,strong_positive,weak_or_uncertain,0.0,0.9545454545454546,0.4772727272727273,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,HPG,cart,2024-11-26,2024-12-24,20d,20,0.0132058287795993,-0.0926294820717131,0.1058353108513124,801.4287676878677,2024-11-27,0.0061381249415752,1,0,0.0,0.0132058287795993,-0.0926294820717131,1,0,0.0,2024-12-24,0.2916389702266111,0.2916389702266111,0.0,0.1458194851133055,False,reject,reject,reject,0.0909090909090909,0.0454545454545454,0.0681818181818181,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,MWG,cart,2024-11-26,2024-12-24,20d,20,0.0216398985629755,0.1043478260869563,0.0827079275239808,382.2010869565197,2024-11-27,0.0162314203420965,1,0,0.0,0.0216398985629755,0.1043478260869563,1,0,0.0,2024-12-24,0.8136451839428065,0.8136451839428065,0.0,0.4068225919714032,False,strong_positive,reject,weak_or_uncertain,1.0,0.0454545454545454,0.5227272727272727,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,ACB,lightgbm,2024-11-26,2024-12-24,20d,20,0.0,0.0184919241894202,0.0184919241894202,,2024-11-27,-0.0050705026412352,0,1,0.9164464022189538,0.0,0.0184919241894202,0,1,0.9164464022189538,2024-12-24,0.6011815371008643,0.6011815371008643,0.9164464022189538,0.758813969659909,True,moderate_positive,strong_positive,moderate_positive,0.8181818181818181,0.8181818181818181,0.8181818181818181,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,DGC,lightgbm,2024-11-26,2024-12-24,20d,20,0.1105350679839576,-0.0349865248998787,0.1455215928838363,131.65196850012927,2024-11-27,0.1027884357209905,1,0,0.2377513910751503,0.1105350679839576,-0.0349865248998787,1,0,0.2377513910751503,2024-12-24,0.3889921782040618,0.3889921782040618,0.2377513910751503,0.313371784639606,False,reject,reject,reject,0.3636363636363636,0.4545454545454546,0.4090909090909091,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,HPG,lightgbm,2024-11-26,2024-12-24,20d,20,0.0132058287795993,-0.0871160938519795,0.1003219226315788,759.6791106860229,2024-11-27,0.0061381249415752,1,0,0.0791260364799993,0.0132058287795993,-0.0871160938519795,1,0,0.0791260364799993,2024-12-24,0.1821548445887471,0.1821548445887471,0.0791260364799993,0.1306404405343732,False,reject,reject,reject,0.1818181818181817,0.2727272727272727,0.2272727272727272,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,MWG,lightgbm,2024-11-26,2024-12-24,20d,20,0.0216398985629755,-0.0064848059763162,0.0281247045392917,129.9668963671175,2024-11-27,0.0162314203420965,1,0,0.067047715119687,0.0216398985629755,-0.0064848059763162,1,0,0.067047715119687,2024-12-24,0.5020800027172404,0.5020800027172404,0.067047715119687,0.2845638589184637,False,reject,reject,reject,0.6363636363636364,0.1818181818181817,0.409090909090909,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,ACB,xgboost,2024-11-26,2024-12-24,20d,20,0.0,-0.0071736052632331,0.0071736052632331,,2024-11-27,-0.0050705026412352,0,1,0.6613870859146118,0.0,-0.0071736052632331,0,1,0.6613870859146118,2024-12-24,0.4683420674826047,0.4683420674826047,0.6613870859146118,0.5648645766986082,False,reject,strong_positive,weak_or_uncertain,0.5454545454545454,0.6363636363636364,0.5909090909090908,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,DGC,xgboost,2024-11-26,2024-12-24,20d,20,0.1105350679839576,0.0233697313815355,0.0871653366024221,78.85763151208513,2024-11-27,0.1027884357209905,1,1,0.6796004176139832,0.1105350679839576,0.0233697313815355,1,1,0.6796004176139832,2024-12-24,0.6078866198815088,0.6078866198815088,0.6796004176139832,0.643743518747746,True,strong_positive,strong_positive,strong_positive,0.9090909090909092,0.7272727272727273,0.8181818181818181,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,HPG,xgboost,2024-11-26,2024-12-24,20d,20,0.0132058287795993,-0.0453833304345607,0.05858915921416,443.66135735963866,2024-11-27,0.0061381249415752,1,0,0.3604373633861542,0.0132058287795993,-0.0453833304345607,1,0,0.3604373633861542,2024-12-24,0.293771782044216,0.293771782044216,0.3604373633861542,0.3271045727151851,False,reject,reject,reject,0.2727272727272727,0.5454545454545454,0.409090909090909,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-24,MWG,xgboost,2024-11-26,2024-12-24,20d,20,0.0216398985629755,-0.0289190616458654,0.0505589602088409,233.6376950275732,2024-11-27,0.0162314203420965,1,0,0.2084531038999557,0.0216398985629755,-0.0289190616458654,1,0,0.2084531038999557,2024-12-24,0.3689927392505154,0.3689927392505154,0.2084531038999557,0.2887229215752355,False,reject,reject,reject,0.4545454545454546,0.3636363636363636,0.4090909090909091,2024-11-26,1242.13,0.006017656110796299,-0.015573237806907558,0.007054098084991736,sideway,0,True
2024-12-25,ACB,cart,2024-11-27,2024-12-25,20d,20,0.0157668418537983,0.1361323155216285,0.1203654736678301,763.4088981417216,2024-11-28,0.0048405070591814,1,1,1.0,0.0157668418537983,0.1361323155216285,1,1,1.0,2024-12-25,0.8978767187312233,0.8978767187312233,1.0,0.9489383593656116,True,strong_positive,strong_positive,strong_positive,1.0,0.9545454545454546,0.9772727272727272,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,DGC,cart,2024-11-27,2024-12-25,20d,20,0.1131614918961141,-0.1958468654659975,0.3090083573621116,273.0684724851376,2024-11-28,0.1043183135265353,1,1,1.0,0.1131614918961141,-0.1958468654659975,1,1,1.0,2024-12-25,0.0181043382478773,0.0181043382478773,1.0,0.5090521691239387,False,reject,strong_positive,weak_or_uncertain,0.0,0.9545454545454546,0.4772727272727273,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,HPG,cart,2024-11-27,2024-12-25,20d,20,0.0319343065693429,-0.122418136020151,0.154352442589494,483.34364879453176,2024-11-28,0.0191566359845805,1,0,0.0,0.0319343065693429,-0.122418136020151,1,0,0.0,2024-12-25,0.2126965651105847,0.2126965651105847,0.0,0.1063482825552923,False,reject,reject,reject,0.1818181818181817,0.0454545454545454,0.1136363636363635,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,MWG,cart,2024-11-27,2024-12-25,20d,20,0.0331929233361414,0.104485488126649,0.0712925647905076,214.78242235109843,2024-11-28,0.0244323199890559,1,0,0.0,0.0331929233361414,0.104485488126649,1,0,0.0,2024-12-25,0.8140099997725291,0.8140099997725291,0.0,0.4070049998862645,False,strong_positive,reject,weak_or_uncertain,0.9090909090909092,0.0454545454545454,0.4772727272727272,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,ACB,lightgbm,2024-11-27,2024-12-25,20d,20,0.0157668418537983,0.0241312513724587,0.0083644095186603,53.050633704715686,2024-11-28,0.0048405070591814,1,1,0.829568981812636,0.0157668418537983,0.0241312513724587,1,1,0.829568981812636,2024-12-25,0.6235570031055001,0.6235570031055001,0.829568981812636,0.7265629924590681,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.8181818181818181,0.8181818181818181,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
