step_size,ticker,horizon,model_name,total_return,cagr,sharpe,sortino,max_drawdown,turnover,win_rate,observations
1,SSI,short_30d,cart,5528.567275517358,1040.5968297735071,4.589254861768482,13.365998778589015,-0.9834206698106484,21.0,0.6454545454545455,276
1,SSI,short_30d,stacking_final,-0.9739067175528224,-0.9471237392337496,-1.4032130562844356,-2.750593201395283,-0.9980376737437249,9.0,0.4521276595744681,276
1,SSI,short_5d,cart,4.160795470729499,2.7554094700144387,3.123416120651871,3.7551751421234303,-0.3621400862652031,96.0,0.6694214876033058,301
1,SSI,short_5d,stacking_final,1.5757890614604695,1.144437695993206,1.428793427075887,2.3470459864806275,-0.8263914478132501,10.0,0.5124378109452736,301
2,ACB,long_3m,cart,39.91529948141329,18.936530912532465,4.243132501438721,13.007070009612127,-0.5008634840668886,17.0,0.6136363636363636,122
2,ACB,long_3m,stacking_final,-0.8896275455044115,-0.8308520170913737,-3.8374787362022396,-5.13664342809085,-0.9411293058263549,3.0,0.16981132075471697,122
2,ACB,long_6m,cart,1.9011948922283506,1.3648137080627434,2.236598524114466,1000000.0,-0.06163021868787266,6.0,0.8,90
2,ACB,long_6m,stacking_final,-0.8139875367673227,-0.743117200518435,-3.8507668723187463,-4.462576578675419,-0.8612594793582646,1.0,0.2608695652173913,90
2,ACB,short_10d,cart,0.08195009195996406,0.06571729420635264,0.37232331672502295,0.46088776243410745,-0.47293663376311057,24.0,0.4117647058823529,148
2,ACB,short_10d,stacking_final,-0.08604956166529176,-0.07012931139295409,0.08765325888456717,0.1256517933620621,-0.5973942706088705,5.0,0.47474747474747475,148
2,ACB,short_20d,cart,0.043137336274483795,0.03471633102201821,0.27871680835140217,0.2949343019143202,-0.4753618638404563,34.0,0.4642857142857143,143
2,ACB,short_20d,stacking_final,-0.6533329403055477,-0.5751704144392722,-1.129096055234564,-1.9310032997372748,-0.7907745371109709,3.0,0.2891566265060241,143
2,ACB,short_30d,cart,-0.349067842401276,-0.29315719515844685,-1.11763688140555,-1.3494948527999666,-0.5518660476781505,19.0,0.39473684210526316,138
2,ACB,short_30d,stacking_final,-0.7797509741564284,-0.7055408310018572,-2.1979403488125717,-4.4159745290244565,-0.8592377919987927,5.0,0.2962962962962963,138
2,ACB,short_5d,cart,0.28550557707950097,0.22446224609888077,0.9928047658113042,0.60948869216865,-0.20365942034106632,41.0,0.6065573770491803,151
2,ACB,short_5d,stacking_final,0.09903241233707227,0.07911173067963029,0.40676885326687884,0.5804754968756448,-0.39607201785548407,6.0,0.5054945054945055,151
