horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
3d,bear,cart,predicted_profit_probability,predicted_profit_probability,3,,,26,78,-0.0026920804974186604,0.4358974358974359,0.4358974358974359,0.6538461538461539,0.8717948717948718
3d,bear,cart,predicted_profit_probability,predicted_profit_probability,5,,,26,104,-0.0009285415859085848,0.5,0.5,1.0,1.0
3d,bear,cart,predicted_return,predicted_return,1,,,26,26,0.006621269655097147,0.6153846153846154,0.6153846153846154,0.3076923076923077,1.2307692307692308
3d,bear,cart,predicted_return,predicted_return,3,,,26,78,0.0022158051586221284,0.5,0.5,0.75,1.0
3d,bear,cart,predicted_return,predicted_return,5,,,26,104,-0.0009285415859085843,0.5,0.5,1.0,1.0
3d,bear,lightgbm,combined_rank_based,rank_based_joint_score,1,,,26,26,-0.004307368915909973,0.34615384615384615,0.34615384615384615,0.17307692307692307,0.6923076923076923
3d,bear,lightgbm,combined_rank_based,rank_based_joint_score,3,,,26,78,-0.0013366437534600394,0.47435897435897434,0.47435897435897434,0.7115384615384616,0.9487179487179487
3d,bear,lightgbm,combined_rank_based,rank_based_joint_score,5,,,26,104,-0.0009285415859085846,0.5,0.5,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear,combined_score,1,,,26,26,0.00023509624890258925,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.7692307692307693
3d,bear,lightgbm,combined_weighted_linear,combined_score,3,,,26,78,-0.0011515099606588955,0.47435897435897434,0.47435897435897434,0.7115384615384616,0.9487179487179487
3d,bear,lightgbm,combined_weighted_linear,combined_score,5,,,26,104,-0.0009285415859085841,0.5,0.5,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.5,12,12,0.010982491702504357,0.25,0.25,0.6,0.85
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.55,11,11,-0.005581371579857276,0.18181818181818182,0.18181818181818182,0.5,0.6363636363636365
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.6,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.65,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.5,11,11,0.010184277689113626,0.2727272727272727,0.2727272727272727,0.6,0.8727272727272727
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.55,10,10,-0.00811579332282324,0.2,0.2,0.5,0.65
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.6,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.65,10,10,-0.00811579332282324,0.2,0.2,0.6666666666666666,0.7333333333333334
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.5,10,10,0.023115457135877336,0.3,0.3,0.75,1.05
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.55,9,9,0.00421884261669901,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.8148148148148149
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.6,9,9,0.00421884261669901,0.2222222222222222,0.2222222222222222,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.65,9,9,0.00421884261669901,0.2222222222222222,0.2222222222222222,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.5,8,8,0.0007325286723032867,0.125,0.125,0.5,0.625
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.55,6,6,0.0008104569283239833,0.0,0.0,0.0,0.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.6,6,6,0.0008104569283239833,0.0,0.0,,
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.65,6,6,0.0008104569283239833,0.0,0.0,,
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.5,12,17,0.010831347827180418,0.29411764705882354,0.29411764705882354,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.55,11,14,0.011960653624555779,0.2857142857142857,0.2857142857142857,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.6,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.5,11,16,0.010273129200766548,0.3125,0.3125,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.55,10,13,0.011360484991844501,0.3076923076923077,0.3076923076923077,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.6,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.65,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.5,10,14,0.010290068876605593,0.2857142857142857,0.2857142857142857,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.55,9,11,0.011579745632199283,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.6,9,9,0.00421884261669901,0.2222222222222222,0.2222222222222222,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.65,9,9,0.00421884261669901,0.2222222222222222,0.2222222222222222,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.5,8,10,0.012024780258952882,0.2,0.2,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.55,6,7,0.0147948628958918,0.14285714285714285,0.14285714285714285,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.6,6,6,0.0008104569283239833,0.0,0.0,,
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.65,6,6,0.0008104569283239833,0.0,0.0,,
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.5,12,17,0.010831347827180418,0.29411764705882354,0.29411764705882354,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.55,11,14,0.011960653624555779,0.2857142857142857,0.2857142857142857,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.6,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.65,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.5,11,16,0.010273129200766548,0.3125,0.3125,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.55,10,13,0.011360484991844501,0.3076923076923077,0.3076923076923077,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.6,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.65,10,11,0.00529806240818886,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.5,10,14,0.010290068876605593,0.2857142857142857,0.2857142857142857,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.55,9,11,0.011579745632199283,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.6,9,9,0.00421884261669901,0.2222222222222222,0.2222222222222222,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.65,9,9,0.00421884261669901,0.2222222222222222,0.2222222222222222,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.5,8,10,0.012024780258952882,0.2,0.2,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.55,6,7,0.0147948628958918,0.14285714285714285,0.14285714285714285,1.0,1.0
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.6,6,6,0.0008104569283239833,0.0,0.0,,
3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.65,6,6,0.0008104569283239833,0.0,0.0,,
3d,bear,lightgbm,predicted_profit_probability,predicted_profit_probability,1,,,26,26,0.0008154681859056147,0.4230769230769231,0.4230769230769231,0.21153846153846154,0.8461538461538461
3d,bear,lightgbm,predicted_profit_probability,predicted_profit_probability,3,,,26,78,-0.003489509633067536,0.47435897435897434,0.47435897435897434,0.7115384615384616,0.9487179487179487
3d,bear,lightgbm,predicted_profit_probability,predicted_profit_probability,5,,,26,104,-0.0009285415859085841,0.5,0.5,1.0,1.0
3d,bear,lightgbm,predicted_return,predicted_return,1,,,26,26,0.003295173980283694,0.34615384615384615,0.34615384615384615,0.17307692307692307,0.6923076923076923
3d,bear,lightgbm,predicted_return,predicted_return,3,,,26,78,-0.0011931448280032711,0.46153846153846156,0.46153846153846156,0.6923076923076923,0.9230769230769231
3d,bear,lightgbm,predicted_return,predicted_return,5,,,26,104,-0.0009285415859085852,0.5,0.5,1.0,1.0
3d,bear,xgboost,combined_rank_based,rank_based_joint_score,1,,,26,26,0.003676369128212743,0.34615384615384615,0.34615384615384615,0.17307692307692307,0.6923076923076923
3d,bear,xgboost,combined_rank_based,rank_based_joint_score,3,,,26,78,0.0010105716419253812,0.48717948717948717,0.48717948717948717,0.7307692307692307,0.9743589743589743
3d,bear,xgboost,combined_rank_based,rank_based_joint_score,5,,,26,104,-0.0009285415859085843,0.5,0.5,1.0,1.0
3d,bear,xgboost,combined_weighted_linear,combined_score,1,,,26,26,0.005115647166938311,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.7692307692307693
3d,bear,xgboost,combined_weighted_linear,combined_score,3,,,26,78,0.0013937661475374062,0.47435897435897434,0.47435897435897434,0.7115384615384616,0.9487179487179487
3d,bear,xgboost,combined_weighted_linear,combined_score,5,,,26,104,-0.0009285415859085846,0.5,0.5,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.5,10,10,0.027960956581059033,0.3,0.3,1.0,1.1
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.55,6,6,0.04892810751515051,0.5,0.5,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.6,4,4,0.0624256918447179,0.75,0.75,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.65,3,3,0.09159976415846553,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.005,0.5,6,6,0.02501777435362287,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.005,0.55,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.005,0.6,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0
