horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.55,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.6,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.65,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.5,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.55,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.6,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.65,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,predicted_profit_probability,predicted_profit_probability,1,,,33,33,-0.005803031090506433,0.3333333333333333,0.3333333333333333,0.28205128205128205,1.1282051282051282
5d,sideway,cart,predicted_profit_probability,predicted_profit_probability,3,,,33,99,-0.006308502837931296,0.31313131313131315,0.31313131313131315,0.7948717948717948,1.0598290598290598
5d,sideway,cart,predicted_profit_probability,predicted_profit_probability,5,,,33,132,-0.00669451881780149,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,cart,predicted_return,predicted_return,1,,,33,33,-0.005475308000508315,0.24242424242424243,0.24242424242424243,0.20512820512820512,0.8205128205128205
5d,sideway,cart,predicted_return,predicted_return,3,,,33,99,-0.0070385970967530185,0.26262626262626265,0.26262626262626265,0.6666666666666666,0.888888888888889
5d,sideway,cart,predicted_return,predicted_return,5,,,33,132,-0.00669451881780149,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,lightgbm,combined_rank_based,rank_based_joint_score,1,,,33,33,-0.012628437614834037,0.24242424242424243,0.24242424242424243,0.20512820512820512,0.8205128205128205
5d,sideway,lightgbm,combined_rank_based,rank_based_joint_score,3,,,33,99,-0.011049160887890482,0.21212121212121213,0.21212121212121213,0.5384615384615384,0.717948717948718
5d,sideway,lightgbm,combined_rank_based,rank_based_joint_score,5,,,33,132,-0.00669451881780149,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear,combined_score,1,,,33,33,-0.012603783143172566,0.24242424242424243,0.24242424242424243,0.20512820512820512,0.8205128205128205
5d,sideway,lightgbm,combined_weighted_linear,combined_score,3,,,33,99,-0.010200450948730122,0.23232323232323232,0.23232323232323232,0.5897435897435898,0.7863247863247863
5d,sideway,lightgbm,combined_weighted_linear,combined_score,5,,,33,132,-0.006694518817801491,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.5,31,31,-0.012388626124643658,0.25806451612903225,0.25806451612903225,0.5333333333333333,1.0838709677419356
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.55,31,31,-0.012388626124643658,0.25806451612903225,0.25806451612903225,0.6153846153846154,1.15136476426799
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.6,30,30,-0.011894884921499914,0.26666666666666666,0.26666666666666666,0.6666666666666666,1.0888888888888888
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.65,27,27,-0.01148134614235011,0.2962962962962963,0.2962962962962963,0.8,1.274074074074074
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.5,31,31,-0.012388626124643658,0.25806451612903225,0.25806451612903225,0.6153846153846154,1.1712158808933002
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.55,31,31,-0.012388626124643658,0.25806451612903225,0.25806451612903225,0.6666666666666666,1.2043010752688172
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.6,30,30,-0.011894884921499914,0.26666666666666666,0.26666666666666666,0.7272727272727273,1.1636363636363636
