date,ticker,horizon,model_name,actual_return,predicted_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score
2024-01-22,DGC,20d,xgboost,0.0110176519369744,-0.088511161506176,1,0,0.039809476584196,2024-01-22,0.14054163439487766,0.14054163439487766,0.039809476584196,0.09017555548953683,False,reject,reject,reject,0.18181818181818177,0.5454545454545454,0.3636363636363636
2024-01-22,HPG,20d,xgboost,0.0463640800390436,0.046062059700489,1,1,0.8527018427848816,2024-01-22,0.5762436390362259,0.5762436390362259,0.8527018427848816,0.7144727409105538,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.7272727272727273,0.7727272727272727
2024-01-22,MWG,20d,xgboost,0.0898116851762433,-0.0546554215252399,1,0,0.0939131379127502,2024-01-22,0.2501549262968146,0.2501549262968146,0.0939131379127502,0.17203403210478238,False,reject,reject,reject,0.6363636363636364,0.6363636363636364,0.6363636363636364
2024-01-23,ACB,20d,cart,0.1153142159853568,-0.0909090909090909,1,1,1.0,2024-01-23,0.3523735002608242,0.3523735002608242,1.0,0.6761867501304121,False,reject,strong_positive,weak_or_uncertain,0.09090909090909094,0.9545454545454546,0.5227272727272727
2024-01-23,DGC,20d,cart,-0.0239430039710348,0.016747301823595,0,0,0.0,2024-01-23,0.7063423283224408,0.7063423283224408,0.0,0.3531711641612204,False,moderate_positive,reject,weak_or_uncertain,0.7272727272727273,0.045454545454545414,0.38636363636363635
2024-01-23,HPG,20d,cart,0.0331890331890332,0.0702917771883289,1,1,1.0,2024-01-23,0.8823938819082092,0.8823938819082092,1.0,0.9411969409541046,True,strong_positive,strong_positive,strong_positive,0.9090909090909091,0.9545454545454546,0.9318181818181819
2024-01-23,MWG,20d,cart,0.0644929273555501,-0.0871278458844132,1,0,0.0,2024-01-23,0.3648060445438412,0.3648060445438412,0.0,0.1824030222719206,False,reject,reject,reject,0.18181818181818177,0.045454545454545414,0.11363636363636359
2024-01-23,ACB,20d,lightgbm,0.1153142159853568,-0.0752703378872717,1,0,0.0005211466490383,2024-01-23,0.2319818456448581,0.2319818456448581,0.0005211466490383,0.1162514961469482,False,reject,reject,reject,0.36363636363636365,0.18181818181818177,0.2727272727272727
2024-01-23,DGC,20d,lightgbm,-0.0239430039710348,-0.0697483763501622,0,0,0.0035371253082787,2024-01-23,0.24902903818879274,0.24902903818879274,0.0035371253082787,0.12628308174853572,False,reject,reject,reject,0.4545454545454546,0.2727272727272727,0.36363636363636365
2024-01-23,HPG,20d,lightgbm,0.0331890331890332,0.0758245472080903,1,1,0.949944854228624,2024-01-23,0.6984363077620661,0.6984363077620661,0.949944854228624,0.824190580995345,True,strong_positive,strong_positive,strong_positive,1.0,0.8181818181818181,0.9090909090909091
2024-01-23,MWG,20d,lightgbm,0.0644929273555501,-0.0782225270725874,1,0,0.0037908525716284,2024-01-23,0.22286795792036262,0.22286795792036262,0.0037908525716284,0.11332940524599551,False,reject,reject,reject,0.2727272727272727,0.36363636363636365,0.3181818181818182
2024-01-23,ACB,20d,xgboost,0.1153142159853568,-0.0362655259668827,1,0,0.0079780258238315,2024-01-23,0.30969511035480324,0.30969511035480324,0.0079780258238315,0.15883656808931737,False,reject,reject,reject,0.6363636363636364,0.4545454545454546,0.5454545454545454
2024-01-23,DGC,20d,xgboost,-0.0239430039710348,-0.0941895768046379,0,0,0.065964289009571,2024-01-23,0.12215687027507954,0.12215687027507954,0.065964289009571,0.09406057964232528,False,reject,reject,reject,0.0,0.6363636363636364,0.3181818181818182
2024-01-23,HPG,20d,xgboost,0.0331890331890332,0.0556777343153953,1,1,0.8193337917327881,2024-01-23,0.6073759004781932,0.6073759004781932,0.8193337917327881,0.7133548461054906,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.7272727272727273,0.7727272727272727
2024-01-23,MWG,20d,xgboost,0.0644929273555501,-0.0472940020263195,1,0,0.0342843383550643,2024-01-23,0.27398868166007456,0.27398868166007456,0.0342843383550643,0.15413651000756942,False,reject,reject,reject,0.5454545454545454,0.5454545454545454,0.5454545454545454
2024-01-24,ACB,20d,cart,0.1096813725490195,-0.0783558124598587,1,1,1.0,2024-01-24,0.39364805115571755,0.39364805115571755,1.0,0.6968240255778588,False,reject,strong_positive,weak_or_uncertain,0.36363636363636365,0.9545454545454546,0.6590909090909092
2024-01-24,DGC,20d,cart,-0.0489837862525689,-0.0032561051972447,0,0,0.0,2024-01-24,0.6405721277734828,0.6405721277734828,0.0,0.3202860638867414,False,reject,reject,reject,0.7272727272727273,0.045454545454545414,0.38636363636363635
2024-01-24,HPG,20d,cart,0.0161443494776827,0.0596745027124772,1,1,1.0,2024-01-24,0.8474848151261052,0.8474848151261052,1.0,0.9237424075630526,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.9545454545454546,0.8863636363636364
2024-01-24,MWG,20d,cart,0.0397509578544061,-0.0827710301394512,1,0,0.0,2024-01-24,0.3791310365315801,0.3791310365315801,0.0,0.18956551826579005,False,reject,reject,reject,0.2727272727272727,0.045454545454545414,0.15909090909090906
2024-01-24,ACB,20d,lightgbm,0.1096813725490195,-0.0890376393465357,1,0,0.0003861967397921,2024-01-24,0.18947994895303175,0.18947994895303175,0.0003861967397921,0.09493307284641192,False,reject,reject,reject,0.18181818181818177,0.18181818181818177,0.18181818181818177
2024-01-24,DGC,20d,lightgbm,-0.0489837862525689,-0.1228009301215665,0,0,0.0030413874678571,2024-01-24,0.08524718403955349,0.08524718403955349,0.0030413874678571,0.0441442857537053,False,reject,reject,reject,0.0,0.2727272727272727,0.13636363636363635
2024-01-24,HPG,20d,lightgbm,0.0161443494776827,0.0862397817105956,1,1,0.9701465819321824,2024-01-24,0.7305898290717019,0.7305898290717019,0.9701465819321824,0.8503682055019421,True,strong_positive,strong_positive,strong_positive,1.0,0.8181818181818181,0.9090909090909091
2024-01-24,MWG,20d,lightgbm,0.0397509578544061,-0.0750391043470977,1,0,0.0034466983192274,2024-01-24,0.23269570115715588,0.23269570115715588,0.0034466983192274,0.11807119973819163,False,reject,reject,reject,0.4545454545454546,0.36363636363636365,0.4090909090909091
2024-01-24,ACB,20d,xgboost,0.1096813725490195,-0.011079903692007,1,0,0.0147276446223258,2024-01-24,0.3912375302724418,0.3912375302724418,0.0147276446223258,0.2029825874473838,False,reject,reject,reject,0.6363636363636364,0.4545454545454546,0.5454545454545454
2024-01-24,DGC,20d,xgboost,-0.0489837862525689,-0.1095189079642295,0,0,0.0178916715085506,2024-01-24,0.0725257456266762,0.0725257456266762,0.0178916715085506,0.0452087085676134,False,reject,reject,reject,0.09090909090909094,0.5454545454545454,0.3181818181818182
2024-01-24,HPG,20d,xgboost,0.0161443494776827,0.0706400275230407,1,1,0.903950572013855,2024-01-24,0.6558186819331404,0.6558186819331404,0.903950572013855,0.7798846269734977,True,strong_positive,strong_positive,strong_positive,0.9090909090909091,0.7272727272727273,0.8181818181818181
2024-01-24,MWG,20d,xgboost,0.0397509578544061,-0.0678781270980835,1,0,0.0487805344164371,2024-01-24,0.20734433386830436,0.20734433386830436,0.0487805344164371,0.12806243414237073,False,reject,reject,reject,0.5454545454545454,0.6363636363636364,0.5909090909090908
2024-01-25,ACB,20d,cart,0.1076452599388377,-0.0909090909090909,1,1,1.0,2024-01-25,0.3523735002608242,0.3523735002608242,1.0,0.6761867501304121,False,reject,strong_positive,weak_or_uncertain,0.18181818181818177,0.9545454545454546,0.5681818181818181
2024-01-25,DGC,20d,cart,-0.0648285291101743,-0.0134213659486956,0,0,0.0,2024-01-25,0.6071492594811536,0.6071492594811536,0.0,0.3035746297405768,False,reject,reject,reject,0.6363636363636364,0.045454545454545414,0.3409090909090909
2024-01-25,HPG,20d,cart,0.0180780209324451,0.0962743158588856,1,1,1.0,2024-01-25,0.9678231678970035,0.9678231678970035,1.0,0.9839115839485018,True,strong_positive,strong_positive,strong_positive,0.9090909090909091,0.9545454545454546,0.9318181818181819
2024-01-25,MWG,20d,cart,0.0548795036984013,-0.0827710301394512,1,0,0.0,2024-01-25,0.3791310365315801,0.3791310365315801,0.0,0.18956551826579005,False,reject,reject,reject,0.36363636363636365,0.045454545454545414,0.20454545454545453
2024-01-25,ACB,20d,lightgbm,0.1076452599388377,-0.0896579727844443,1,0,0.0008302187607218,2024-01-25,0.18756487883050346,0.18756487883050346,0.0008302187607218,0.09419754879561264,False,reject,reject,reject,0.2727272727272727,0.18181818181818177,0.22727272727272724
2024-01-25,DGC,20d,lightgbm,-0.0648285291101743,-0.1504143726400411,0,0,0.0066295681707504,2024-01-25,0.0,0.0,0.0066295681707504,0.0033147840853752,False,reject,reject,reject,0.0,0.36363636363636365,0.18181818181818182
2024-01-25,HPG,20d,lightgbm,0.0180780209324451,0.0975774730737375,1,1,0.9956555007436756,2024-01-25,0.765591124602702,0.765591124602702,0.9956555007436756,0.8806233126731888,True,strong_positive,strong_positive,strong_positive,1.0,0.8181818181818181,0.9090909090909091
