date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2023-02-15,DGC,cart,2023-02-10,2023-02-15,3d,3,-0.02545155993431858,0.11580817051509773,0.1412597304494163,555.0140377012546
2023-02-16,DGC,cart,2023-02-13,2023-02-16,3d,3,0.02097750865051906,0.06622193296452972,0.045244424314010656,215.68063714225255
2023-02-17,DGC,cart,2023-02-14,2023-02-17,3d,3,0.0,0.08181413961760775,0.08181413961760775,
2023-02-20,DGC,cart,2023-02-15,2023-02-20,3d,3,0.02042965459140711,0.13060073016926643,0.11017107557785932,539.2703781893514
2023-02-21,DGC,cart,2023-02-16,2023-02-21,3d,3,0.02435924592247396,0.07170393215111792,0.04734468622864396,194.36022929167737
2023-02-22,DGC,cart,2023-02-17,2023-02-22,3d,3,0.0,0.07170393215111792,0.07170393215111792,
2023-02-23,DGC,cart,2023-02-20,2023-02-23,3d,3,-0.0493292053663571,0.01379310344827589,0.06312230881463299,127.96133314096095
2023-02-24,DGC,cart,2023-02-21,2023-02-24,3d,3,-0.07320099255583123,0.00983606557377037,0.0830370581296016,113.43706585162529
2023-02-27,DGC,cart,2023-02-22,2023-02-27,3d,3,-0.06794462193823225,0.13060073016926643,0.19854535210749868,292.21643515508
2023-02-28,DGC,cart,2023-02-23,2023-02-28,3d,3,-0.03647416413373861,0.08104287733626503,0.11751704147000364,322.1925553635932
2023-03-01,DGC,cart,2023-02-24,2023-03-01,3d,3,-0.0058009817045960865,0.13060073016926643,0.13640171187386252,2351.3556639179224
2023-01-03,DGC,lightgbm,2022-12-28,2023-01-03,3d,3,0.011863758132415025,0.03531127324561638,0.023447515113201353,197.63986126062653
2023-01-04,DGC,lightgbm,2022-12-29,2023-01-04,3d,3,0.03977383505556631,0.03049143070881757,0.009282404346748738,23.33796661493842
2023-01-05,DGC,lightgbm,2022-12-30,2023-01-05,3d,3,0.03411922560858738,0.02446687958717187,0.009652346021415507,28.29005010883405
2023-01-06,DGC,lightgbm,2023-01-03,2023-01-06,3d,3,-0.0183434190620273,0.03968915834308055,0.05803257740510785,316.3672879569167
2023-01-09,DGC,lightgbm,2023-01-04,2023-01-09,3d,3,-0.0433152072004499,0.027701275059424903,0.07101648225987481,163.95277051597986
2023-01-10,DGC,lightgbm,2023-01-05,2023-01-10,3d,3,-0.07228915662650615,0.02452795299758577,0.09681710962409192,133.93033497999357
2023-01-11,DGC,lightgbm,2023-01-06,2023-01-11,3d,3,-0.037565016374494276,0.06468651256886336,0.10225152894335764,272.1988137153693
2023-01-12,DGC,lightgbm,2023-01-09,2023-01-12,3d,3,-0.02783222265778129,0.015721690686626242,0.04355391334440753,156.48737034025842
