horizon,ticker,model_name,strategy_type,threshold,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,number_of_trades,average_trade_return,exposure_ratio,turnover,candidate_signals,buy_signals,skipped_overlap_signals,positive_net_return_after_costs,beats_buy_and_hold,beats_naive_flat_strategy
5d,HPG,buy_and_hold,benchmark,,0.05320771240053768,0.22260217797759219,0.7543212770429264,1.2496826597607829,-0.1377551020408162,1.0,10.0,1,0.053207712400537455,1.0,2.0,1,1,0,True,False,False
5d,HPG,momentum_continuation,benchmark,0.0,-0.08768687776225581,-0.2993823888680003,-1.2771115992019009,-2.0428967694837104,-0.13595227509431096,0.4444444444444444,0.5727692247525473,9,-0.009346566199970307,0.6923076923076923,10.0,180,81,72,False,False,False
5d,HPG,momentum_continuation,benchmark,0.005,-0.18959713354809082,-0.5573701710368142,-2.6400417147830852,-3.1725573324741903,-0.2324710278228952,0.4444444444444444,0.30663101008270227,9,-0.021756140118663534,0.6923076923076923,10.0,180,75,66,False,False,False
5d,HPG,momentum_continuation,benchmark,0.01,-0.16900932034592653,-0.5121565601831791,-2.659380674096101,-2.5207370986088313,-0.2113047414967829,0.3333333333333333,0.1914555833867597,6,-0.028960833703865135,0.46153846153846156,10.0,180,60,54,False,False,False
5d,HPG,momentum_continuation,benchmark,0.02,-0.20267795511780096,-0.5844323806649248,-3.5859853216874233,-3.0854544032810938,-0.21214131735643815,0.3333333333333333,0.16154966467767934,6,-0.035591516693801915,0.46153846153846156,10.0,180,54,48,False,False,False
5d,HPG,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,False,False,False
5d,HPG,cart,model,0.0,-0.16581080119193214,-0.5048363399672957,-2.376950433335386,-2.9392489807644644,-0.2042273071270685,0.2222222222222222,0.3128663471826498,9,-0.0190773819485311,0.6923076923076923,4.0,60,39,30,False,False,False
5d,HPG,cart,model,0.005,-0.08822619645247931,-0.30098674381952895,-1.3072185942555055,-2.187527341924238,-0.13049571184712971,0.4444444444444444,0.5857545952345463,9,-0.0093993570829779,0.6923076923076923,6.0,60,36,27,False,False,False
5d,HPG,cart,model,0.01,-0.08822619645247931,-0.30098674381952895,-1.3072185942555055,-2.187527341924238,-0.13049571184712971,0.4444444444444444,0.5857545952345463,9,-0.0093993570829779,0.6923076923076923,6.0,60,36,27,False,False,False
5d,HPG,cart,model,0.02,-0.08822619645247931,-0.30098674381952895,-1.3072185942555055,-2.187527341924238,-0.13049571184712971,0.4444444444444444,0.5857545952345463,9,-0.0093993570829779,0.6923076923076923,6.0,60,36,27,False,False,False
5d,HPG,lightgbm,model,0.0,-0.2132860381125914,-0.6054609709987113,-3.0773220852218595,-3.9520763553129603,-0.2208617329360455,0.36363636363636365,0.24242431211444,11,-0.020530671074044816,0.8461538461538461,4.0,60,48,37,False,False,False
5d,HPG,lightgbm,model,0.005,-0.06767693291047927,-0.23790100649875734,-0.7205273147645224,-0.996580795463113,-0.15725447725442676,0.3,0.7203301220070081,10,-0.006057615180785259,0.7692307692307693,4.0,60,46,36,False,False,False
5d,HPG,lightgbm,model,0.01,-0.094658901108988,-0.3199131753043525,-1.16461323486996,-1.5088711212571597,-0.15725447725442676,0.2222222222222222,0.5827342508163091,9,-0.010042138708585231,0.6923076923076923,2.0,60,40,31,False,False,False
5d,HPG,lightgbm,model,0.02,-0.1584346333880451,-0.487644533651289,-2.292402773224756,-2.7427207425636624,-0.19719083036044427,0.25,0.3242397148049228,8,-0.02036645236331129,0.6153846153846154,4.0,60,34,26,False,False,False
5d,HPG,xgboost,model,0.0,-0.08940756506288772,-0.3044915288240483,-1.0639902004124768,-1.3992519293396077,-0.15134078794666306,0.3,0.48745037810819186,10,-0.008918130154163673,0.7692307692307693,6.0,60,35,25,False,False,False
5d,HPG,xgboost,model,0.005,-0.08704685444795635,-0.2974749161256621,-1.1931438285126794,-1.3207260278332922,-0.10661723016689328,0.25,0.3859235442019865,8,-0.010941607347549828,0.6153846153846154,6.0,60,33,25,False,False,False
5d,HPG,xgboost,model,0.01,-0.10529151642522905,-0.35035947781053256,-1.5697508414323067,-1.5899282657473244,-0.11771870791869188,0.14285714285714285,0.4256909525788955,7,-0.014958946329621978,0.5384615384615384,8.0,60,30,23,False,False,False
5d,HPG,xgboost,model,0.02,-0.048271700313945565,-0.17453913357629636,-0.650792425814526,-0.6348731587280031,-0.09389250918249703,0.14285714285714285,0.6584438073921369,7,-0.006322083948416427,0.5384615384615384,8.0,60,28,21,False,False,False
5d,MWG,buy_and_hold,benchmark,,-0.07927770437144632,-0.27401178023500494,-0.5778623524859403,-0.9426095333188241,-0.20811099252934906,0.0,0.0,1,-0.07927770437144632,1.0,2.0,1,1,0,False,False,False
5d,MWG,momentum_continuation,benchmark,0.0,-0.14742229336255275,-0.46115862048110856,-1.9874585705846368,-2.4375162871424534,-0.18703850992648952,0.4444444444444444,0.3112698018860871,9,-0.016509929994242153,0.6923076923076923,8.0,180,84,75,False,False,False
5d,MWG,momentum_continuation,benchmark,0.005,-0.17693579683937888,-0.529951129871886,-2.7780875189235616,-2.8890915218503896,-0.2016478870906223,0.375,0.18179934610252732,8,-0.02299591814996957,0.6153846153846154,10.0,180,72,64,False,False,False
5d,MWG,momentum_continuation,benchmark,0.01,-0.11367992433143748,-0.37365626879531066,-1.9904709372771625,-1.6706634031644323,-0.14029124045635477,0.3333333333333333,0.09724402832479563,6,-0.019226589496912694,0.46153846153846156,12.0,180,66,60,False,False,False
5d,MWG,momentum_continuation,benchmark,0.02,-0.12659854270940107,-0.4083145910134237,-2.1369182745597386,-1.9750604710651976,-0.15592494932393342,0.3333333333333333,0.22616843115728508,6,-0.021482277424602885,0.46153846153846156,10.0,180,54,48,False,False,False
5d,MWG,naive_flat_strategy,benchmark,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,False,False,False
