date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2024-06-26,ACB,lightgbm,2024-06-21,2024-06-26,3d,3,-0.018039980497318475,-0.038862578549439225,0.02082259805212075,115.42472595918767
2024-06-27,ACB,lightgbm,2024-06-24,2024-06-27,3d,3,-0.006454816285997977,-0.032497091020376706,0.02604227473437873,403.45493319260817
2024-06-28,ACB,lightgbm,2024-06-25,2024-06-28,3d,3,-0.010452961672473893,-0.03547143358674589,0.025018471914272,239.34338131320155
2024-07-01,ACB,lightgbm,2024-06-26,2024-07-01,3d,3,-0.012909632571996066,-0.029392087265580093,0.016482454693584028,127.67562981876206
2024-07-02,ACB,lightgbm,2024-06-27,2024-07-02,3d,3,0.003998000999500206,-0.02977852892794959,0.0337765299274498,844.8354548103472
2024-07-03,ACB,lightgbm,2024-06-28,2024-07-03,3d,3,0.019114688128772706,-0.0372166657353019,0.056331353864074604,294.70192495205237
2024-07-04,ACB,lightgbm,2024-07-01,2024-07-04,3d,3,0.015090543259557387,-0.03448373713199653,0.04957428039155392,328.5122313946964
2024-07-05,ACB,lightgbm,2024-07-02,2024-07-05,3d,3,0.010452961672474004,-0.032695280453607665,0.04314824212608167,412.7848496728426
2024-07-08,ACB,lightgbm,2024-07-03,2024-07-08,3d,3,0.0,-0.03622069947060225,0.03622069947060225,
2024-07-09,ACB,lightgbm,2024-07-04,2024-07-09,3d,3,0.005946481665014991,-0.03803008959351071,0.0439765712585257,739.539339997525
2024-07-10,ACB,lightgbm,2024-07-05,2024-07-10,3d,3,-0.0019704433497536034,-0.039003952399577047,0.03703350904982344,1879.4505842786268
2024-07-11,ACB,lightgbm,2024-07-08,2024-07-11,3d,3,-0.003948667324777944,-0.04337456603163184,0.039425898706853896,998.4608847510607
2024-07-12,ACB,lightgbm,2024-07-09,2024-07-12,3d,3,-0.012315270935960632,-0.0426139290528182,0.03029865811685757,246.02510390888267
2024-07-15,ACB,lightgbm,2024-07-10,2024-07-15,3d,3,-0.012339585389930852,-0.03946323278322186,0.02712364739329101,219.81003847523118
2024-07-16,ACB,lightgbm,2024-07-11,2024-07-16,3d,3,-0.001982160555004886,-0.04241826086159347,0.040436100306588584,2040.0012604674653
2024-07-17,ACB,lightgbm,2024-07-12,2024-07-17,3d,3,0.02094763092269325,-0.036919551585082235,0.057867182507775485,276.2469069716427
2024-07-18,ACB,lightgbm,2024-07-15,2024-07-18,3d,3,0.035482258870564554,-0.03455535579149273,0.07003761466205728,197.3876999137708
2024-07-19,ACB,lightgbm,2024-07-16,2024-07-19,3d,3,0.04121151936444867,-0.036347221025064956,0.07755874038951363,188.19675077648336
2024-07-22,ACB,lightgbm,2024-07-17,2024-07-22,3d,3,0.010258915486077269,-0.04062971194612051,0.050888627432197776,496.0429540652762
2024-07-23,ACB,lightgbm,2024-07-18,2024-07-23,3d,3,-0.0323359073359073,-0.038957037896973336,0.006621130561066037,20.47609331720723
2024-07-24,ACB,lightgbm,2024-07-19,2024-07-24,3d,3,-0.03576537911301858,-0.03636022216625123,0.0005948430532326521,1.6631811768384959
2024-07-25,ACB,lightgbm,2024-07-22,2024-07-25,3d,3,-0.02852998065764023,-0.02347606655926181,0.00505391409837842,17.714397212621307
2024-07-26,ACB,lightgbm,2024-07-23,2024-07-26,3d,3,0.0044887780548628076,-0.03139383390122875,0.035882611956091555,799.384855244046
2024-07-29,ACB,lightgbm,2024-07-24,2024-07-29,3d,3,-0.001978239366963397,-0.03179518479553726,0.02981694542857386,1507.246591414413
2024-07-30,ACB,lightgbm,2024-07-25,2024-07-30,3d,3,0.004479840716774541,-0.03160987647611955,0.03608971719289409,805.6026871169311
2024-07-31,ACB,lightgbm,2024-07-26,2024-07-31,3d,3,0.018371400198609722,-0.035539760412567616,0.05391116061117734,293.4515607321925
2024-08-01,ACB,lightgbm,2024-07-29,2024-08-01,3d,3,-0.00842418235877096,-0.042821190422160746,0.034397008063389786,408.3127192465966
2024-08-02,ACB,lightgbm,2024-07-30,2024-08-02,3d,3,-0.00842418235877096,-0.039409402512514055,0.030985220153743095,367.8127898250254
2024-08-05,ACB,lightgbm,2024-07-31,2024-08-05,3d,3,-0.055095075572891394,-0.04978477388542724,0.0053103016874641515,9.638432531848629
2024-08-06,ACB,lightgbm,2024-08-01,2024-08-06,3d,3,-0.018990504747626313,-0.0265517014790928,0.007561196731466487,39.815670157011425
2024-08-07,ACB,lightgbm,2024-08-02,2024-08-07,3d,3,-0.02298850574712652,-0.030276626973007273,0.007288121225880753,31.70332733258116
2024-08-08,ACB,lightgbm,2024-08-05,2024-08-08,3d,3,0.0025799793601650745,-0.040882605613269764,0.04346258497343484,1684.6097935703633
2024-08-09,ACB,lightgbm,2024-08-06,2024-08-09,3d,3,0.004584819154355602,-0.04038632555027095,0.04497114470462655,980.8706339464607
2024-08-12,ACB,lightgbm,2024-08-07,2024-08-12,3d,3,0.01687979539641926,-0.03622585166955015,0.05310564706596941,314.6107273150645
2024-08-13,ACB,lightgbm,2024-08-08,2024-08-13,3d,3,0.014925373134328401,-0.030808238653402605,0.045733611787731006,306.4151989777969
2024-08-14,ACB,lightgbm,2024-08-09,2024-08-14,3d,3,-0.0020283975659228792,-0.03832797223083468,0.0362995746649118,1789.5690309801885
2024-08-15,ACB,lightgbm,2024-08-12,2024-08-15,3d,3,-0.012575452716297786,-0.03671484566447551,0.024139392948177726,191.95645272390928
2024-08-16,ACB,lightgbm,2024-08-13,2024-08-16,3d,3,0.016734279918864114,-0.036829031736911114,0.05356331165577523,320.08136540966257
2024-08-19,ACB,lightgbm,2024-08-14,2024-08-19,3d,3,0.02083333333333326,-0.03326703344870545,0.05410036678203871,259.6817605537867
2024-08-20,ACB,lightgbm,2024-08-15,2024-08-20,3d,3,0.025980641874681742,-0.03650130712707981,0.06248194900176155,240.4942468440339
2024-08-21,ACB,lightgbm,2024-08-16,2024-08-21,3d,3,0.01695760598503737,-0.04475768061603046,0.06171528660106783,363.93867539747424
2024-08-22,ACB,lightgbm,2024-08-19,2024-08-22,3d,3,0.014932802389248323,-0.04226180119882098,0.057194603588069305,383.013195361439
2024-06-24,ACB,xgboost,2024-06-19,2024-06-24,3d,3,-0.022330097087378653,-0.032503243535757065,0.010173146448378412,45.55800366012938
2024-06-25,ACB,xgboost,2024-06-20,2024-06-25,3d,3,-0.030405405405405372,-0.026585105806589127,0.003820299598816246,12.564540902773444
2024-06-26,ACB,xgboost,2024-06-21,2024-06-26,3d,3,-0.018039980497318475,-0.04083729907870293,0.02279731858138445,126.37108219032234
2024-06-27,ACB,xgboost,2024-06-24,2024-06-27,3d,3,-0.006454816285997977,-0.025739483535289764,0.019284667249291787,298.76399876979906
2024-06-28,ACB,xgboost,2024-06-25,2024-06-28,3d,3,-0.010452961672473893,-0.03537826985120773,0.02492530817873384,238.45211490988652
2024-07-01,ACB,xgboost,2024-06-26,2024-07-01,3d,3,-0.012909632571996066,-0.020126722753047943,0.007217090181051877,55.90469086399399
2024-07-02,ACB,xgboost,2024-06-27,2024-07-02,3d,3,0.003998000999500206,-0.029784413054585457,0.03378241405408566,844.9826315278269
2024-07-03,ACB,xgboost,2024-06-28,2024-07-03,3d,3,0.019114688128772706,-0.04191403090953827,0.061028719038310975,319.2765617056889
2024-07-04,ACB,xgboost,2024-07-01,2024-07-04,3d,3,0.015090543259557387,-0.032179076224565506,0.04726961948412289,313.24001178145346
2024-07-05,ACB,xgboost,2024-07-02,2024-07-05,3d,3,0.010452961672474004,-0.03265465795993805,0.04310761963241205,412.3962278167366
2024-07-08,ACB,xgboost,2024-07-03,2024-07-08,3d,3,0.0,-0.036720987409353256,0.036720987409353256,
2024-07-09,ACB,xgboost,2024-07-04,2024-07-09,3d,3,0.005946481665014991,-0.033603258430957794,0.039549740095972785,665.0947959472617
2024-07-10,ACB,xgboost,2024-07-05,2024-07-10,3d,3,-0.0019704433497536034,-0.03341078758239746,0.03144034423264386,1595.5974698067496
2024-07-11,ACB,xgboost,2024-07-08,2024-07-11,3d,3,-0.003948667324777944,-0.0396612212061882,0.03571255388141026,904.420427046702
2024-07-12,ACB,xgboost,2024-07-09,2024-07-12,3d,3,-0.012315270935960632,-0.03252647817134857,0.02021120723538794,164.11500275134955
2024-07-15,ACB,xgboost,2024-07-10,2024-07-15,3d,3,-0.012339585389930852,-0.03608713671565056,0.023747551325719707,192.45015594363323
2024-07-16,ACB,xgboost,2024-07-11,2024-07-16,3d,3,-0.001982160555004886,-0.0403849296271801,0.038402769072175214,1937.4196996913074
2024-07-17,ACB,xgboost,2024-07-12,2024-07-17,3d,3,0.02094763092269325,-0.030138351023197174,0.051085981945890424,243.8747471464533
2024-07-18,ACB,xgboost,2024-07-15,2024-07-18,3d,3,0.035482258870564554,-0.02958066575229168,0.06506292462285623,183.3674819300506
2024-07-19,ACB,xgboost,2024-07-16,2024-07-19,3d,3,0.04121151936444867,-0.038889236748218536,0.0801007561126672,194.36496724206324
2024-07-22,ACB,xgboost,2024-07-17,2024-07-22,3d,3,0.010258915486077269,-0.03085094690322876,0.04110986238930603,400.7232776709941
2024-07-23,ACB,xgboost,2024-07-18,2024-07-23,3d,3,-0.0323359073359073,-0.032154712826013565,0.00018119450989373398,0.5603507828355481
2024-07-24,ACB,xgboost,2024-07-19,2024-07-24,3d,3,-0.03576537911301858,-0.03246767818927765,0.0032977009237409316,9.22037178277965
2024-07-25,ACB,xgboost,2024-07-22,2024-07-25,3d,3,-0.02852998065764023,-0.032726310193538666,0.004196329535898435,14.708490644471128
2024-07-26,ACB,xgboost,2024-07-23,2024-07-26,3d,3,0.0044887780548628076,-0.052626803517341614,0.05711558157220442,1272.4082339141196
2024-07-29,ACB,xgboost,2024-07-24,2024-07-29,3d,3,-0.001978239366963397,-0.053217288106679916,0.05123904873971652,2590.1339137926775
2024-07-30,ACB,xgboost,2024-07-25,2024-07-30,3d,3,0.004479840716774541,-0.048271745443344116,0.05275158616011866,1177.532628840864
2024-07-31,ACB,xgboost,2024-07-26,2024-07-31,3d,3,0.018371400198609722,-0.04118692874908447,0.059558328947694195,324.19047162339507
2024-08-01,ACB,xgboost,2024-07-29,2024-08-01,3d,3,-0.00842418235877096,-0.04742147773504257,0.03899729537627161,462.92083570186503
2024-08-02,ACB,xgboost,2024-07-30,2024-08-02,3d,3,-0.00842418235877096,-0.04989524185657501,0.04147105949780405,492.285870979821
2024-08-05,ACB,xgboost,2024-07-31,2024-08-05,3d,3,-0.055095075572891394,-0.0377289317548275,0.017366143818063895,31.520319443229177
2024-08-06,ACB,xgboost,2024-08-01,2024-08-06,3d,3,-0.018990504747626313,-0.036618735641241074,0.01762823089361476,92.82655267927079
2024-08-07,ACB,xgboost,2024-08-02,2024-08-07,3d,3,-0.02298850574712652,-0.02402489259839058,0.0010363868512640595,4.508282802998643
2024-08-08,ACB,xgboost,2024-08-05,2024-08-08,3d,3,0.0025799793601650745,-0.02110198885202408,0.023681968212189153,917.9130879044673
2024-08-09,ACB,xgboost,2024-08-06,2024-08-09,3d,3,0.004584819154355602,-0.030650733038783073,0.035235552193138675,768.5265439458985
2024-08-12,ACB,xgboost,2024-08-07,2024-08-12,3d,3,0.01687979539641926,-0.03238914906978607,0.04926894446620533,291.8811710043407
2024-08-13,ACB,xgboost,2024-08-08,2024-08-13,3d,3,0.014925373134328401,-0.03182230144739151,0.04674767458171991,313.2094196975225
2024-08-14,ACB,xgboost,2024-08-09,2024-08-14,3d,3,-0.0020283975659228792,-0.03566772863268852,0.03363933106676564,1658.4190215915803
2024-08-15,ACB,xgboost,2024-08-12,2024-08-15,3d,3,-0.012575452716297786,-0.04731382429599762,0.034738371579699834,276.2395308017731
2024-08-16,ACB,xgboost,2024-08-13,2024-08-16,3d,3,0.016734279918864114,-0.025904178619384766,0.04263845853824888,254.7970916285658
2024-08-19,ACB,xgboost,2024-08-14,2024-08-19,3d,3,0.02083333333333326,-0.0253460556268692,0.04617938896020246,221.66106700897262
2024-08-20,ACB,xgboost,2024-08-15,2024-08-20,3d,3,0.025980641874681742,-0.02708473801612854,0.05306537989081028,204.24968769737265
2024-08-21,ACB,xgboost,2024-08-16,2024-08-21,3d,3,0.01695760598503737,-0.03477175161242485,0.05172935759746222,305.05106465562346
2024-08-22,ACB,xgboost,2024-08-19,2024-08-22,3d,3,0.014932802389248323,-0.03688177093863487,0.051814573327883195,346.9849260523925
2024-06-24,DGC,cart,2024-06-19,2024-06-24,3d,3,-0.02801706113573632,-0.08416210840377913,0.056145047268042814,200.39591945790733
2024-06-25,DGC,cart,2024-06-20,2024-06-25,3d,3,-0.04074226804123704,-0.13851642268421704,0.09777415464298,239.98211033322562
2024-06-26,DGC,cart,2024-06-21,2024-06-26,3d,3,-0.051574066541934416,-0.04687139228815518,0.004702674253779238,9.118292523928737
2024-06-27,DGC,cart,2024-06-24,2024-06-27,3d,3,-0.006453278265358797,0.026488513830285942,0.03294179209564474,510.46601031411126
2024-06-28,DGC,cart,2024-06-25,2024-06-28,3d,3,-0.017625311667096577,-0.029065489330389993,0.011440177663293416,64.90766165939782
2024-07-01,DGC,cart,2024-06-26,2024-07-01,3d,3,-0.024015781799468172,-0.029229406554472925,0.005213624755004753,21.709161078071624
2024-07-02,DGC,cart,2024-06-27,2024-07-02,3d,3,-0.004070321295574608,-0.029229406554472925,0.025159085258898317,618.1105478393592
2024-07-03,DGC,cart,2024-06-28,2024-07-03,3d,3,0.018729214073166522,0.026488513830285942,0.00775929975711942,41.42885935740477
2024-07-04,DGC,cart,2024-07-01,2024-07-04,3d,3,0.024606731698743278,-0.029229406554472925,0.053836138253216204,218.78622042262415
2024-07-05,DGC,cart,2024-07-02,2024-07-05,3d,3,0.013826086956521877,-0.029229406554472925,0.0430554935109948,311.4076574694562
2024-07-08,DGC,cart,2024-07-03,2024-07-08,3d,3,0.02001718213058412,-0.029229406554472925,0.04924658868505705,246.02158467556484
2024-07-09,DGC,cart,2024-07-04,2024-07-09,3d,3,0.024015781799468172,-0.029229406554472925,0.0532451883539411,221.70916107807162
2024-07-10,DGC,cart,2024-07-05,2024-07-10,3d,3,0.012007890899734086,-0.029229406554472925,0.04123729745420701,343.41832215614323
2024-07-11,DGC,cart,2024-07-08,2024-07-11,3d,3,-0.008590920576097116,-0.07602411120679053,0.06743319063069342,784.9355611355045
2024-07-12,DGC,cart,2024-07-09,2024-07-12,3d,3,-0.01951587235111818,-0.07602411120679053,0.056508238855672355,289.5501560935075
2024-07-15,DGC,cart,2024-07-10,2024-07-15,3d,3,-0.008729553351979003,-0.13851642268421704,0.12978686933223804,1486.7526905350223
2024-07-16,DGC,cart,2024-07-11,2024-07-16,3d,3,-0.00637159119870867,-0.13851642268421704,0.13214483148550837,2073.969081887899
2024-07-17,DGC,cart,2024-07-12,2024-07-17,3d,3,-0.013582778062532053,-0.07602411120679053,0.06244133314425848,459.7095885450873
2024-07-18,DGC,cart,2024-07-15,2024-07-18,3d,3,-0.019151846785225635,-0.07602411120679053,0.0568722644215649,296.9544663726009
2024-07-19,DGC,cart,2024-07-16,2024-07-19,3d,3,-0.032660738714090254,-0.13851642268421704,0.10585568397012679,324.1068271504199
2024-07-22,DGC,cart,2024-07-17,2024-07-22,3d,3,-0.07915475881181255,-0.13851642268421704,0.05936166387240449,74.99443465368216
2024-07-23,DGC,cart,2024-07-18,2024-07-23,3d,3,-0.11863668061366806,-0.07602411120679053,0.04261256940687752,35.91854491077876
2024-07-24,DGC,cart,2024-07-19,2024-07-24,3d,3,-0.09315891815449895,-0.13851642268421704,0.045357504529718096,48.68831178835199
2024-07-25,DGC,cart,2024-07-22,2024-07-25,3d,3,-0.026333113890717574,0.029868025005788335,0.05620113889650591,213.42382495948124
2024-07-26,DGC,cart,2024-07-23,2024-07-26,3d,3,0.0442092770250222,0.029868025005788335,0.014341252019233863,32.43946290077713
2024-07-29,DGC,cart,2024-07-24,2024-07-29,3d,3,0.02729044834308003,0.022974607013301007,0.004315841329779024,15.814475729833074
2024-07-30,DGC,cart,2024-07-25,2024-07-30,3d,3,0.012653337196947723,0.016202592414786388,0.003549255217838665,28.049953641437988
2024-07-31,DGC,cart,2024-07-26,2024-07-31,3d,3,-0.010608069710172474,-0.010243432152325926,0.0003646375578465477,3.437360121199837
2024-08-01,DGC,cart,2024-07-29,2024-08-01,3d,3,-0.061954459203036105,0.02135946726975746,0.08331392647279356,134.4760773389347
2024-08-02,DGC,cart,2024-07-30,2024-08-02,3d,3,-0.04721480351011065,0.02135946726975746,0.06857427077986811,145.23892017295702
2024-08-05,DGC,cart,2024-07-31,2024-08-05,3d,3,-0.09640053609036947,0.02135946726975746,0.11776000336012693,122.15700050644355
2024-08-06,DGC,cart,2024-08-01,2024-08-06,3d,3,0.0,0.029868025005788335,0.029868025005788335,
2024-08-07,DGC,cart,2024-08-02,2024-08-07,3d,3,-0.010211232355591071,0.029868025005788335,0.040079257361379406,392.50166841453137
2024-08-08,DGC,cart,2024-08-05,2024-08-08,3d,3,0.027651234240915423,0.029868025005788335,0.0022167907648729113,8.016968593730022
2024-08-09,DGC,cart,2024-08-06,2024-08-09,3d,3,0.004652574087185224,0.02135946726975746,0.016706893182572236,359.08924542628387
2024-08-12,DGC,cart,2024-08-07,2024-08-12,3d,3,0.0244765854151916,0.02135946726975746,0.003117118145434139,12.73510210905265
2024-08-13,DGC,cart,2024-08-08,2024-08-13,3d,3,0.04814432989690731,0.02135946726975746,0.026784862627149852,55.63451123840536
2024-08-14,DGC,cart,2024-08-09,2024-08-14,3d,3,0.01036947548575462,0.02135946726975746,0.01098999178400284,105.98406639854323
2024-08-15,DGC,cart,2024-08-12,2024-08-15,3d,3,-0.01935038009675194,0.02135946726975746,0.0407098473665094,210.38267549763924
2024-08-16,DGC,cart,2024-08-13,2024-08-16,3d,3,0.016425690960952144,0.02135946726975746,0.0049337763088053155,30.036948342289527
2024-08-19,DGC,cart,2024-08-14,2024-08-19,3d,3,0.03068951773614992,0.02135946726975746,0.009330050466392459,30.401424182050174
2024-08-20,DGC,cart,2024-08-15,2024-08-20,3d,3,0.05164602839021448,0.02135946726975746,0.030286561120457023,58.642575362475505
2024-08-21,DGC,cart,2024-08-16,2024-08-21,3d,3,0.018095606735049286,0.026488513830285942,0.008392907095236657,46.38091011881066
2024-08-22,DGC,cart,2024-08-19,2024-08-22,3d,3,0.01894818252126851,0.02135946726975746,0.002411284748488951,12.725678284882411
2024-06-24,DGC,lightgbm,2024-06-19,2024-06-24,3d,3,-0.02801706113573632,-0.041375154812524406,0.013358093676788085,47.67842569950911
2024-06-25,DGC,lightgbm,2024-06-20,2024-06-25,3d,3,-0.04074226804123704,-0.022848662871912485,0.017893605169324554,43.919020785032515
2024-06-26,DGC,lightgbm,2024-06-21,2024-06-26,3d,3,-0.051574066541934416,-0.024509394942823164,0.027064671599111252,52.47728832300863
2024-06-27,DGC,lightgbm,2024-06-24,2024-06-27,3d,3,-0.006453278265358797,-0.0232142698458883,0.016760991580529502,259.7283255318854
2024-06-28,DGC,lightgbm,2024-06-25,2024-06-28,3d,3,-0.017625311667096577,-0.03243001797668446,0.014804706309587884,83.99684833503241
2024-07-01,DGC,lightgbm,2024-06-26,2024-07-01,3d,3,-0.024015781799468172,-0.04610727527143535,0.022091493471967177,91.9874008534521
2024-07-02,DGC,lightgbm,2024-06-27,2024-07-02,3d,3,-0.004070321295574608,-0.06413608079772158,0.06006575950214697,1475.7006914282788
2024-07-03,DGC,lightgbm,2024-06-28,2024-07-03,3d,3,0.018729214073166522,-0.025810322484356937,0.04453953655752346,237.80782462909414
2024-07-04,DGC,lightgbm,2024-07-01,2024-07-04,3d,3,0.024606731698743278,-0.07750750746648088,0.10211423916522416,414.9849740932453
2024-07-05,DGC,lightgbm,2024-07-02,2024-07-05,3d,3,0.013826086956521877,-0.051424900556094055,0.06525098751261593,471.94110465099106
2024-07-08,DGC,lightgbm,2024-07-03,2024-07-08,3d,3,0.02001718213058412,-0.046754003212899034,0.06677118534348316,333.5693551065007
2024-07-09,DGC,lightgbm,2024-07-04,2024-07-09,3d,3,0.024015781799468172,-0.05061582826568739,0.07463161006515556,310.76069348201804
2024-07-10,DGC,lightgbm,2024-07-05,2024-07-10,3d,3,0.012007890899734086,-0.05948831555365266,0.07149620645338675,595.410193600027
2024-07-11,DGC,lightgbm,2024-07-08,2024-07-11,3d,3,-0.008590920576097116,-0.05259971593475936,0.04400879535866224,512.2710071503838
2024-07-12,DGC,lightgbm,2024-07-09,2024-07-12,3d,3,-0.01951587235111818,-0.07479666583362149,0.05528079348250331,283.2606838573421
2024-07-15,DGC,lightgbm,2024-07-10,2024-07-15,3d,3,-0.008729553351979003,-0.04206059348314692,0.033331040131167916,381.81839078412554
2024-07-16,DGC,lightgbm,2024-07-11,2024-07-16,3d,3,-0.00637159119870867,-0.06237025460064933,0.05599866340194066,878.8803558723275
2024-07-17,DGC,lightgbm,2024-07-12,2024-07-17,3d,3,-0.013582778062532053,-0.07894268935073633,0.06535991128820427,481.19693178598635
2024-07-18,DGC,lightgbm,2024-07-15,2024-07-18,3d,3,-0.019151846785225635,-0.07489047881570382,0.055738632030478186,291.0352858162838
2024-07-19,DGC,lightgbm,2024-07-16,2024-07-19,3d,3,-0.032660738714090254,-0.0661027916923669,0.03344205297827664,102.39221246961361
